lon,lat,lon_norm,lat_norm,lon_bin,lat_bin,partition_id,local_cluster,is_border,global_cluster
121.4488,31.2561,0.41864028977431156,0.33213483146067374,50,39,50_39,-1,True,-1
121.448,31.2568,0.41752577319586026,0.33276404494381834,50,39,50_39,-1,True,-1
121.4476,31.2573,0.4169685149066445,0.3332134831460677,50,39,50_39,-1,True,-1
121.4488,31.2576,0.41864028977431156,0.33348314606741536,50,40,50_40,-1,True,-1
121.4501,31.258,0.42045137921426773,0.3338426966292123,50,40,50_40,-1,True,-1
121.4511,31.2583,0.42184452493729724,0.33411235955056,50,40,50_40,-1,True,-1
121.453,31.2586,0.4244915018110869,0.33438202247191084,50,40,50_40,-1,True,-1
121.4545,31.2588,0.42658122039564106,0.3345617977528093,51,40,51_40,-1,True,-1
121.4556,31.259,0.4281136806909992,0.3347415730337078,51,40,51_40,-1,True,-1
121.4561,31.2591,0.4288102535525239,0.33483146067415703,51,40,51_40,-1,True,-1
121.4501,31.2596,0.42045137921426773,0.33528089887640317,50,40,50_40,-1,True,-1
121.4495,31.2618,0.4196154917804342,0.3372584269662926,50,40,50_40,-1,False,-1
121.4453,31.2603,0.41376427974365887,0.3359101123595509,49,40,49_40,-1,False,-1
121.4453,31.2603,0.41376427974365887,0.3359101123595509,49,40,49_40,-1,False,-1
121.4443,31.2601,0.4123711340206096,0.3357303370786525,49,40,49_40,-1,False,-1
121.4345,31.2568,0.39871830593479385,0.33276404494381834,47,39,47_39,-1,True,-1
121.4278,31.2526,0.38938422959041513,0.32898876404494437,46,39,46_39,-1,False,-1
121.4268,31.2546,0.3879910838673658,0.3307865168539321,46,39,46_39,-1,False,-1
121.4268,31.2546,0.3879910838673658,0.3307865168539321,46,39,46_39,-1,False,-1
121.4245,31.2551,0.38478684870436036,0.33123595505617826,46,39,46_39,-1,True,-1
121.4175,31.258,0.37503482864307475,0.3338426966292123,45,40,45_40,-1,True,-1
121.4175,31.2605,0.37503482864307475,0.3360898876404494,45,40,45_40,-1,True,-1
